title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,exclusionReason
やさしさに包まれたなら,荒井由実,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=19,BV1SrEJ6DEVB,19,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
革命道中,アイナ・ジ・エンド,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=20,BV1SrEJ6DEVB,20,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
アイドル,YOASOBI,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=23,BV1SrEJ6DEVB,23,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
POP IN 2,B小町(ルビー(CV:伊駒ゆりえ)、有馬かな(CV:潘めぐみ)、MEMちょ(CV:大久保瑠美)),茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=24,BV1SrEJ6DEVB,24,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ヒトヒラのハナビラ,ステレオポニー,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=27,BV1SrEJ6DEVB,27,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
LOSER,米津玄師,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=28,BV1SrEJ6DEVB,28,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
廻廻奇譚,Eve,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=29,BV1SrEJ6DEVB,29,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
青のすみか,キタニタツヤ,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=30,BV1SrEJ6DEVB,30,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
Mela!,緑黄色社会,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=34,BV1SrEJ6DEVB,34,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
絶対敵対メチャキライヤー,メドミア,联动,friends.js,🍯🍁联动歌切 2026-06-02 古椿姫 メル ❌ 紅葉丸 搞笑二人组激情开唱超燃术力口歌曲✊🔥,https://www.bilibili.com/video/BV1AUVr6ZEpE?p=1,BV1AUVr6ZEpE,1,1780430916,2026-06-03 04:08:36,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
